gid,config
129687,t200_t186
129688,t233_t217
129689,t233_t217
129690,t233_t217
129691,t233_t217
129692,t233_t217
129693,t233_t217
129694,t233_t217
129695,t233_t217
129696,t233_t217
129697,t233_t217
129698,t233_t217
129699,t233_t217
129700,t233_t217
129701,t233_t217
129702,t233_t217
129703,t233_t217
129704,t200_t186
129705,t200_t186
129706,t200_t186
129707,t233_t217
129708,t233_t217
129709,t233_t217
129710,t233_t217
129711,t200_t186
129712,t200_t186
129713,t200_t186
129714,t233_t217
129715,t233_t217
129716,t233_t217
129717,t233_t217
129718,t233_t217
129719,t233_t217
129720,t233_t217
129721,t233_t217
129722,t233_t217
129723,t233_t217
129765,t233_t217
129766,t233_t217
129767,t233_t217
129768,t233_t217
129769,t233_t217
129770,t233_t217
129771,t233_t217
129772,t233_t217
129773,t200_t186
129774,t200_t186
129775,t200_t186
129776,t233_t217
129777,t233_t217
129778,t233_t217
129779,t233_t217
129780,t233_t217
129781,t233_t217
129782,t233_t217
129783,t233_t217
129784,t233_t217
129785,t233_t217
129786,t233_t217
129787,t233_t217
129788,t233_t217
130631,t200_t186
130632,t200_t186
130633,t200_t186
130634,t200_t186
130635,t233_t217
130636,t233_t217
130637,t200_t186
130638,t233_t217
130639,t233_t217
130640,t233_t217
130641,t233_t217
130642,t233_t217
130643,t233_t217
130644,t233_t217
130645,t233_t217
130646,t233_t217
130647,t233_t217
130648,t233_t217
130649,t233_t217
130650,t233_t217
130651,t233_t217
130652,t233_t217
130653,t233_t217
130654,t233_t217
130655,t233_t217
130656,t200_t186
130657,t200_t186
130658,t200_t186
130659,t200_t186
130660,t200_t186
130661,t233_t217
130662,t200_t186
130663,t200_t186
130664,t233_t217
130665,t233_t217
130666,t233_t217
130667,t233_t217
130668,t200_t186
130669,t200_t186
130670,t200_t186
130671,t200_t186
130710,t233_t217
130711,t233_t217
130712,t233_t217
130713,t233_t217
130714,t233_t217
130715,t233_t217
130716,t233_t217
130717,t200_t186
130718,t200_t186
130719,t200_t186
130720,t200_t186
130721,t233_t217
130722,t233_t217
130723,t233_t217
130724,t233_t217
130725,t233_t217
130726,t233_t217
130727,t233_t217
130728,t233_t217
130729,t200_t186
130730,t233_t217
130731,t233_t217
130732,t233_t217
130733,t233_t217
130734,t233_t217
130735,t233_t217
130736,t233_t217
131575,t200_t186
131576,t200_t186
131577,t200_t186
131578,t200_t186
131579,t200_t186
131580,t233_t217
131581,t233_t217
131582,t233_t217
131583,t233_t217
131584,t233_t217
131585,t233_t217
131586,t233_t217
131587,t233_t217
131588,t233_t217
131589,t233_t217
131590,t233_t217
131591,t233_t217
131592,t200_t186
131593,t233_t217
131594,t233_t217
131595,t233_t217
131596,t233_t217
131597,t233_t217
131598,t233_t217
131599,t200_t186
131600,t200_t186
131601,t200_t186
131602,t200_t186
131603,t200_t186
131604,t200_t186
131605,t200_t186
131606,t200_t186
131607,t200_t186
131608,t200_t186
131609,t200_t186
131610,t200_t186
131611,t233_t217
131612,t233_t217
131613,t233_t217
131614,t200_t186
131615,t200_t186
131616,t200_t186
131617,t200_t186
131618,t200_t186
131651,t233_t217
131652,t233_t217
131654,t233_t217
131655,t233_t217
131656,t233_t217
131657,t233_t217
131658,t233_t217
131659,t233_t217
131660,t233_t217
131661,t200_t186
131662,t200_t186
131663,t200_t186
131664,t200_t186
131665,t200_t186
131666,t233_t217
131667,t233_t217
131668,t233_t217
131669,t233_t217
131670,t233_t217
131671,t233_t217
131672,t233_t217
131673,t233_t217
131674,t233_t217
131675,t200_t186
131676,t233_t217
131677,t233_t217
131678,t233_t217
131679,t233_t217
131680,t233_t217
131681,t233_t217
131682,t200_t186
131683,t233_t217
132516,t233_t217
132517,t233_t217
132518,t233_t217
132519,t200_t186
132520,t200_t186
132521,t200_t186
132522,t200_t186
132523,t200_t186
132524,t200_t186
132525,t233_t217
132526,t233_t217
132527,t233_t217
132528,t233_t217
132529,t233_t217
132530,t200_t186
132531,t200_t186
132532,t233_t217
132533,t233_t217
132534,t233_t217
132535,t233_t217
132536,t200_t186
132537,t200_t186
132538,t233_t217
132539,t233_t217
132540,t233_t217
132541,t233_t217
132542,t233_t217
132543,t200_t186
132544,t200_t186
132545,t200_t186
132546,t200_t186
132547,t200_t186
132548,t200_t186
132549,t200_t186
132550,t200_t186
132551,t200_t186
132552,t200_t186
132553,t200_t186
132554,t200_t186
132555,t200_t186
132556,t200_t186
132557,t233_t217
132558,t233_t217
132559,t233_t217
132560,t200_t186
132561,t200_t186
132562,t200_t186
132563,t200_t186
132564,t200_t186
132565,t200_t186
132596,t233_t217
132597,t233_t217
132598,t233_t217
132599,t233_t217
132600,t233_t217
132601,t233_t217
132602,t233_t217
132603,t233_t217
132604,t233_t217
132605,t233_t217
132606,t200_t186
132607,t200_t186
132608,t200_t186
132609,t200_t186
132610,t200_t186
132611,t233_t217
132612,t233_t217
132613,t233_t217
132614,t233_t217
132615,t233_t217
132616,t233_t217
132617,t233_t217
132618,t233_t217
132619,t233_t217
132620,t233_t217
132621,t233_t217
132622,t233_t217
132623,t233_t217
132624,t233_t217
132625,t233_t217
132626,t200_t186
132627,t200_t186
132628,t200_t186
132629,t200_t186
132630,t200_t186
133458,t233_t217
133460,t233_t217
133461,t233_t217
133462,t200_t186
133463,t200_t186
133464,t200_t186
133465,t200_t186
133466,t200_t186
133467,t200_t186
133468,t200_t186
133469,t233_t217
133470,t233_t217
133471,t233_t217
133472,t233_t217
133473,t233_t217
133474,t233_t217
133475,t233_t217
133476,t200_t186
133477,t200_t186
133478,t200_t186
133479,t233_t217
133480,t233_t217
133481,t233_t217
133482,t233_t217
133483,t233_t217
133484,t233_t217
133485,t233_t217
133486,t233_t217
133487,t233_t217
133488,t200_t186
133489,t200_t186
133490,t200_t186
133491,t200_t186
133492,t200_t186
133493,t200_t186
133494,t200_t186
133495,t200_t186
133496,t200_t186
133497,t200_t186
133498,t200_t186
133499,t200_t186
133500,t200_t186
133501,t200_t186
133502,t200_t186
133503,t233_t217
133504,t233_t217
133505,t200_t186
133506,t200_t186
133507,t200_t186
133508,t200_t186
133509,t200_t186
133510,t200_t186
133511,t200_t186
133512,t200_t186
133539,t233_t217
133540,t233_t217
133541,t233_t217
133542,t233_t217
133543,t233_t217
133544,t233_t217
133545,t233_t217
133546,t233_t217
133547,t233_t217
133548,t233_t217
133549,t233_t217
133550,t233_t217
133551,t200_t186
133552,t200_t186
133553,t200_t186
133554,t200_t186
133555,t200_t186
133556,t200_t186
133557,t233_t217
133558,t233_t217
133559,t233_t217
133560,t233_t217
133561,t233_t217
133562,t233_t217
133563,t233_t217
133564,t233_t217
133565,t233_t217
133566,t233_t217
133567,t233_t217
133568,t233_t217
133569,t233_t217
133570,t233_t217
133571,t200_t186
133572,t200_t186
133573,t200_t186
133574,t200_t186
133575,t200_t186
133576,t200_t186
133577,t233_t217
134405,t233_t217
134406,t233_t217
134407,t233_t217
134408,t233_t217
134409,t233_t217
134410,t233_t217
134411,t233_t217
134412,t200_t186
134413,t200_t186
134414,t200_t186
134415,t200_t186
134416,t200_t186
134417,t233_t217
134418,t233_t217
134419,t233_t217
134420,t233_t217
134421,t233_t217
134422,t233_t217
134423,t233_t217
134424,t200_t186
134425,t200_t186
134426,t200_t186
134427,t233_t217
134428,t233_t217
134429,t233_t217
134430,t233_t217
134431,t233_t217
134432,t233_t217
134433,t233_t217
134434,t233_t217
134435,t233_t217
134436,t200_t186
134437,t200_t186
134438,t200_t186
134439,t200_t186
134440,t200_t186
134441,t200_t186
134442,t200_t186
134443,t200_t186
134444,t200_t186
134445,t200_t186
134446,t200_t186
134447,t200_t186
134448,t200_t186
134449,t200_t186
134450,t200_t186
134451,t200_t186
134452,t200_t186
134453,t200_t186
134454,t200_t186
134455,t200_t186
134456,t200_t186
134457,t200_t186
134458,t200_t186
134459,t200_t186
134460,t200_t186
134461,t200_t186
134463,t200_t186
134465,t200_t186
134483,t233_t217
134484,t233_t217
134485,t233_t217
134486,t233_t217
134487,t233_t217
134488,t233_t217
134489,t233_t217
134490,t233_t217
134491,t233_t217
134492,t233_t217
134493,t233_t217
134494,t233_t217
134495,t200_t186
134496,t233_t217
134497,t233_t217
134498,t200_t186
134499,t200_t186
134500,t200_t186
134501,t200_t186
134502,t200_t186
134503,t233_t217
134504,t233_t217
134505,t233_t217
134506,t233_t217
134507,t233_t217
134508,t233_t217
134509,t233_t217
134510,t233_t217
134511,t233_t217
134512,t233_t217
134513,t233_t217
134514,t233_t217
134515,t233_t217
134516,t233_t217
134517,t233_t217
134518,t233_t217
134519,t200_t186
134520,t200_t186
134521,t200_t186
134522,t200_t186
134523,t200_t186
134524,t200_t186
134525,t200_t186
134526,t233_t217
135351,t233_t217
135352,t200_t186
135353,t233_t217
135354,t233_t217
135355,t233_t217
135356,t233_t217
135357,t200_t186
135358,t200_t186
135359,t200_t186
135360,t200_t186
135361,t200_t186
135362,t200_t186
135363,t200_t186
135364,t200_t186
135365,t233_t217
135366,t233_t217
135367,t233_t217
135368,t233_t217
135369,t233_t217
135370,t233_t217
135371,t233_t217
135372,t233_t217
135373,t233_t217
135374,t233_t217
135375,t233_t217
135376,t233_t217
135377,t233_t217
135378,t233_t217
135379,t200_t186
135380,t200_t186
135381,t200_t186
135382,t200_t186
135383,t200_t186
135384,t200_t186
135385,t200_t186
135386,t200_t186
135387,t200_t186
135388,t200_t186
135389,t200_t186
135390,t200_t186
135391,t200_t186
135392,t200_t186
135393,t200_t186
135394,t200_t186
135395,t200_t186
135396,t200_t186
135397,t200_t186
135398,t200_t186
135399,t200_t186
135400,t200_t186
135401,t200_t186
135402,t200_t186
135403,t200_t186
135404,t200_t186
135405,t200_t186
135406,t200_t186
135407,t200_t186
135408,t200_t186
135409,t200_t186
135410,t200_t186
135411,t200_t186
135412,t200_t186
135413,t200_t186
135414,t200_t186
135415,t200_t186
135420,t233_t217
135421,t233_t217
135422,t233_t217
135427,t233_t217
135428,t233_t217
135429,t233_t217
135430,t233_t217
135431,t233_t217
135432,t233_t217
135433,t233_t217
135434,t233_t217
135435,t233_t217
135436,t233_t217
135437,t233_t217
135438,t233_t217
135439,t200_t186
135440,t200_t186
135441,t200_t186
135442,t200_t186
135443,t200_t186
135444,t200_t186
135445,t200_t186
135446,t200_t186
135447,t200_t186
135448,t200_t186
135449,t200_t186
135450,t233_t217
135451,t233_t217
135452,t233_t217
135453,t233_t217
135454,t233_t217
135455,t233_t217
135456,t233_t217
135457,t233_t217
135458,t233_t217
135459,t233_t217
135460,t233_t217
135461,t233_t217
135462,t233_t217
135463,t200_t186
135464,t200_t186
135465,t200_t186
135466,t200_t186
135467,t200_t186
135468,t200_t186
135469,t200_t186
135470,t200_t186
135471,t200_t186
135472,t200_t186
135473,t200_t186
135474,t200_t186
135475,t233_t217
136268,t233_t217
136298,t200_t186
136299,t233_t217
136300,t233_t217
136301,t200_t186
136302,t200_t186
136303,t200_t186
136304,t200_t186
136305,t200_t186
136306,t200_t186
136307,t200_t186
136308,t200_t186
136309,t200_t186
136310,t200_t186
136311,t200_t186
136312,t200_t186
136313,t200_t186
136314,t200_t186
136315,t233_t217
136316,t233_t217
136317,t233_t217
136318,t233_t217
136319,t233_t217
136320,t233_t217
136321,t233_t217
136322,t233_t217
136323,t233_t217
136324,t233_t217
136325,t200_t186
136326,t200_t186
136327,t200_t186
136328,t200_t186
136329,t200_t186
136330,t200_t186
136331,t200_t186
136332,t200_t186
136333,t200_t186
136334,t200_t186
136335,t200_t186
136336,t200_t186
136337,t200_t186
136338,t200_t186
136339,t200_t186
136340,t200_t186
136341,t200_t186
136342,t200_t186
136343,t200_t186
136344,t200_t186
136345,t200_t186
136346,t200_t186
136347,t200_t186
136348,t200_t186
136349,t200_t186
136350,t200_t186
136351,t200_t186
136352,t200_t186
136353,t200_t186
136354,t200_t186
136355,t200_t186
136356,t200_t186
136357,t200_t186
136358,t200_t186
136359,t200_t186
136360,t200_t186
136361,t200_t186
136362,t200_t186
136363,t200_t186
136364,t200_t186
136365,t200_t186
136366,t200_t186
136367,t200_t186
136368,t233_t217
136369,t233_t217
136370,t233_t217
136371,t233_t217
136372,t233_t217
136373,t233_t217
136374,t233_t217
136375,t233_t217
136376,t233_t217
136377,t233_t217
136378,t233_t217
136379,t233_t217
136380,t233_t217
136381,t233_t217
136382,t233_t217
136383,t233_t217
136384,t233_t217
136385,t233_t217
136386,t200_t186
136387,t200_t186
136388,t200_t186
136389,t200_t186
136390,t200_t186
136391,t200_t186
136392,t200_t186
136393,t200_t186
136394,t233_t217
136395,t233_t217
136396,t233_t217
136397,t233_t217
136398,t233_t217
136399,t233_t217
136400,t233_t217
136401,t233_t217
136402,t233_t217
136403,t233_t217
136404,t233_t217
136405,t233_t217
136406,t233_t217
136407,t233_t217
136408,t233_t217
136409,t233_t217
136410,t200_t186
136411,t200_t186
136412,t200_t186
136413,t200_t186
136414,t200_t186
136415,t200_t186
136416,t200_t186
136417,t200_t186
136418,t200_t186
136419,t200_t186
136420,t200_t186
136421,t200_t186
136422,t200_t186
136423,t200_t186
136424,t233_t217
137217,t233_t217
137218,t233_t217
137245,t233_t217
137246,t233_t217
137247,t233_t217
137248,t233_t217
137249,t200_t186
137250,t200_t186
137251,t200_t186
137252,t200_t186
137253,t200_t186
137254,t200_t186
137255,t200_t186
137256,t200_t186
137257,t233_t217
137258,t200_t186
137259,t200_t186
137260,t200_t186
137261,t200_t186
137262,t200_t186
137263,t233_t217
137264,t233_t217
137265,t233_t217
137266,t233_t217
137267,t233_t217
137268,t233_t217
137269,t233_t217
137270,t200_t186
137271,t200_t186
137272,t200_t186
137273,t200_t186
137274,t200_t186
137275,t200_t186
137276,t200_t186
137277,t200_t186
137278,t200_t186
137279,t200_t186
137280,t200_t186
137281,t200_t186
137282,t200_t186
137283,t200_t186
137284,t200_t186
137285,t200_t186
137286,t200_t186
137287,t200_t186
137288,t200_t186
137289,t200_t186
137290,t200_t186
137291,t200_t186
137292,t200_t186
137293,t200_t186
137294,t200_t186
137295,t200_t186
137296,t200_t186
137297,t200_t186
137298,t200_t186
137299,t200_t186
137300,t200_t186
137301,t200_t186
137302,t200_t186
137303,t200_t186
137304,t200_t186
137305,t200_t186
137306,t200_t186
137307,t200_t186
137308,t200_t186
137309,t200_t186
137310,t200_t186
137311,t200_t186
137312,t200_t186
137313,t200_t186
137314,t233_t217
137315,t233_t217
137316,t233_t217
137317,t233_t217
137318,t233_t217
137319,t233_t217
137320,t233_t217
137321,t233_t217
137322,t233_t217
137323,t233_t217
137324,t233_t217
137325,t233_t217
137326,t233_t217
137327,t233_t217
137328,t233_t217
137329,t233_t217
137330,t233_t217
137331,t233_t217
137332,t233_t217
137333,t233_t217
137334,t200_t186
137335,t200_t186
137336,t200_t186
137337,t200_t186
137338,t200_t186
137339,t200_t186
137340,t200_t186
137341,t233_t217
137342,t233_t217
137343,t233_t217
137344,t233_t217
137345,t233_t217
137346,t233_t217
137347,t233_t217
137348,t233_t217
137349,t233_t217
137350,t233_t217
137351,t233_t217
137352,t233_t217
137353,t233_t217
137354,t233_t217
137355,t233_t217
137356,t233_t217
137357,t200_t186
137358,t200_t186
137359,t200_t186
137360,t200_t186
137361,t200_t186
137362,t200_t186
137363,t200_t186
137364,t200_t186
137365,t200_t186
137366,t200_t186
137367,t200_t186
137368,t200_t186
137369,t200_t186
137370,t200_t186
138167,t233_t217
138168,t233_t217
138192,t200_t186
138193,t233_t217
138194,t233_t217
138195,t233_t217
138196,t233_t217
138197,t200_t186
138198,t200_t186
138199,t200_t186
138200,t200_t186
138201,t200_t186
138202,t200_t186
138203,t200_t186
138204,t200_t186
138205,t233_t217
138206,t233_t217
138207,t200_t186
138208,t200_t186
138209,t200_t186
138210,t200_t186
138211,t233_t217
138212,t233_t217
138213,t233_t217
138214,t233_t217
138215,t233_t217
138216,t233_t217
138217,t233_t217
138218,t233_t217
138219,t200_t186
138220,t200_t186
138221,t200_t186
138222,t200_t186
138223,t200_t186
138224,t200_t186
138225,t200_t186
138226,t200_t186
138227,t200_t186
138228,t200_t186
138229,t200_t186
138230,t200_t186
138231,t200_t186
138232,t200_t186
138233,t200_t186
138234,t200_t186
138235,t200_t186
138236,t200_t186
138237,t200_t186
138238,t200_t186
138239,t200_t186
138240,t200_t186
138241,t200_t186
138242,t200_t186
138243,t200_t186
138244,t200_t186
138245,t200_t186
138246,t200_t186
138247,t200_t186
138248,t200_t186
138249,t200_t186
138250,t200_t186
138251,t200_t186
138252,t200_t186
138253,t200_t186
138254,t200_t186
138255,t200_t186
138256,t200_t186
138257,t200_t186
138258,t200_t186
138259,t200_t186
138260,t200_t186
138261,t233_t217
138262,t233_t217
138263,t233_t217
138264,t233_t217
138265,t233_t217
138266,t233_t217
138267,t233_t217
138268,t233_t217
138269,t233_t217
138270,t233_t217
138271,t233_t217
138272,t233_t217
138273,t233_t217
138274,t233_t217
138275,t233_t217
138276,t233_t217
138277,t233_t217
138278,t233_t217
138279,t233_t217
138280,t233_t217
138281,t233_t217
138282,t233_t217
138283,t233_t217
138284,t200_t186
138285,t200_t186
138286,t200_t186
138287,t200_t186
138288,t233_t217
138289,t233_t217
138290,t233_t217
138291,t233_t217
138292,t233_t217
138293,t233_t217
138294,t233_t217
138295,t233_t217
138296,t233_t217
138297,t200_t186
138298,t200_t186
138299,t200_t186
138300,t233_t217
138301,t233_t217
138302,t233_t217
138303,t233_t217
138304,t233_t217
138305,t233_t217
138306,t200_t186
138307,t200_t186
138308,t200_t186
138309,t200_t186
138310,t200_t186
138311,t200_t186
138312,t200_t186
138313,t200_t186
138314,t200_t186
138315,t200_t186
138316,t200_t186
138317,t200_t186
138318,t200_t186
138319,t200_t186
138320,t200_t186
138321,t200_t186
139116,t233_t217
139117,t233_t217
139118,t233_t217
139131,t233_t217
139138,t233_t217
139140,t200_t186
139141,t200_t186
139142,t233_t217
139143,t233_t217
139144,t233_t217
139145,t233_t217
139146,t200_t186
139147,t200_t186
139148,t200_t186
139149,t200_t186
139150,t200_t186
139151,t200_t186
139152,t200_t186
139153,t200_t186
139154,t200_t186
139155,t233_t217
139156,t200_t186
139157,t200_t186
139158,t233_t217
139159,t233_t217
139160,t233_t217
139161,t233_t217
139162,t233_t217
139163,t233_t217
139164,t233_t217
139165,t200_t186
139166,t233_t217
139167,t233_t217
139168,t200_t186
139169,t200_t186
139170,t200_t186
139171,t200_t186
139172,t200_t186
139173,t200_t186
139174,t200_t186
139175,t200_t186
139176,t200_t186
139177,t200_t186
139178,t200_t186
139179,t200_t186
139180,t200_t186
139181,t200_t186
139182,t200_t186
139183,t200_t186
139184,t200_t186
139185,t200_t186
139186,t200_t186
139187,t200_t186
139188,t200_t186
139189,t200_t186
139190,t200_t186
139191,t200_t186
139192,t200_t186
139193,t200_t186
139194,t200_t186
139195,t200_t186
139196,t200_t186
139197,t200_t186
139198,t200_t186
139199,t200_t186
139200,t200_t186
139201,t200_t186
139202,t200_t186
139203,t200_t186
139204,t200_t186
139205,t200_t186
139206,t200_t186
139207,t200_t186
139208,t233_t217
139209,t233_t217
139210,t233_t217
139211,t233_t217
139212,t233_t217
139213,t233_t217
139214,t233_t217
139215,t233_t217
139216,t233_t217
139217,t233_t217
139218,t233_t217
139219,t233_t217
139220,t233_t217
139221,t233_t217
139222,t233_t217
139223,t233_t217
139224,t233_t217
139225,t233_t217
139226,t233_t217
139227,t233_t217
139228,t233_t217
139229,t233_t217
139230,t233_t217
139231,t233_t217
139232,t233_t217
139233,t200_t186
139234,t200_t186
139235,t233_t217
139236,t233_t217
139237,t233_t217
139238,t233_t217
139239,t233_t217
139240,t233_t217
139241,t233_t217
139242,t233_t217
139243,t233_t217
139244,t233_t217
139245,t233_t217
139246,t233_t217
139247,t200_t186
139248,t200_t186
139249,t233_t217
139250,t233_t217
139251,t233_t217
139252,t233_t217
139253,t233_t217
139254,t233_t217
139255,t233_t217
139256,t200_t186
139257,t200_t186
139258,t200_t186
139259,t200_t186
139260,t200_t186
139261,t200_t186
139262,t200_t186
139263,t200_t186
139264,t233_t217
139265,t233_t217
139266,t233_t217
139267,t233_t217
139268,t200_t186
139269,t200_t186
139270,t200_t186
140064,t233_t217
140065,t233_t217
140067,t233_t217
140068,t233_t217
140080,t233_t217
140081,t233_t217
140082,t233_t217
140083,t233_t217
140084,t200_t186
140085,t200_t186
140086,t200_t186
140087,t200_t186
140088,t200_t186
140089,t200_t186
140090,t200_t186
140091,t233_t217
140092,t200_t186
140093,t200_t186
140094,t233_t217
140095,t233_t217
140096,t200_t186
140097,t200_t186
140098,t200_t186
140099,t200_t186
140100,t200_t186
140101,t200_t186
140102,t200_t186
140103,t200_t186
140104,t200_t186
140105,t233_t217
140106,t233_t217
140107,t233_t217
140108,t233_t217
140109,t233_t217
140110,t233_t217
140111,t233_t217
140112,t233_t217
140113,t233_t217
140114,t233_t217
140115,t200_t186
140116,t233_t217
140117,t200_t186
140118,t200_t186
140119,t200_t186
140120,t200_t186
140121,t200_t186
140122,t200_t186
140123,t200_t186
140124,t200_t186
140125,t200_t186
140126,t233_t217
140127,t200_t186
140128,t200_t186
140129,t200_t186
140130,t200_t186
140131,t200_t186
140132,t200_t186
140133,t200_t186
140134,t200_t186
140135,t200_t186
140136,t200_t186
140137,t200_t186
140138,t200_t186
140139,t200_t186
140140,t200_t186
140141,t200_t186
140142,t200_t186
140143,t200_t186
140144,t200_t186
140145,t200_t186
140146,t200_t186
140147,t200_t186
140148,t200_t186
140149,t200_t186
140150,t200_t186
140151,t200_t186
140152,t200_t186
140153,t200_t186
140154,t200_t186
140155,t200_t186
140156,t200_t186
140157,t233_t217
140158,t233_t217
140159,t233_t217
140160,t233_t217
140161,t200_t186
140162,t200_t186
140163,t200_t186
140164,t233_t217
140165,t233_t217
140166,t233_t217
140167,t233_t217
140168,t233_t217
140169,t233_t217
140170,t233_t217
140171,t233_t217
140172,t233_t217
140173,t233_t217
140174,t233_t217
140175,t200_t186
140176,t233_t217
140177,t233_t217
140178,t233_t217
140179,t233_t217
140180,t200_t186
140181,t233_t217
140182,t233_t217
140183,t200_t186
140184,t200_t186
140185,t200_t186
140186,t233_t217
140187,t233_t217
140188,t233_t217
140189,t233_t217
140190,t233_t217
140191,t233_t217
140192,t233_t217
140193,t233_t217
140194,t233_t217
140195,t233_t217
140196,t233_t217
140197,t233_t217
140198,t233_t217
140199,t233_t217
140200,t233_t217
140201,t233_t217
140202,t233_t217
140203,t233_t217
140204,t233_t217
140205,t233_t217
140206,t200_t186
140207,t200_t186
140208,t200_t186
140209,t200_t186
140210,t200_t186
140211,t200_t186
140212,t233_t217
140213,t233_t217
140214,t233_t217
140215,t200_t186
140216,t200_t186
140217,t200_t186
140218,t200_t186
140219,t200_t186
140220,t200_t186
140221,t200_t186
140222,t200_t186
141013,t233_t217
141014,t233_t217
141015,t233_t217
141016,t233_t217
141017,t233_t217
141018,t233_t217
141019,t233_t217
141021,t233_t217
141023,t233_t217
141024,t233_t217
141029,t233_t217
141030,t233_t217
141031,t200_t186
141032,t200_t186
141033,t200_t186
141034,t200_t186
141035,t200_t186
141036,t200_t186
141037,t200_t186
141038,t200_t186
141039,t233_t217
141040,t233_t217
141041,t200_t186
141042,t200_t186
141043,t200_t186
141044,t233_t217
141045,t200_t186
141046,t200_t186
141047,t200_t186
141048,t200_t186
141049,t200_t186
141050,t200_t186
141051,t200_t186
141052,t233_t217
141053,t233_t217
141054,t200_t186
141055,t233_t217
141056,t233_t217
141057,t233_t217
141058,t233_t217
141059,t233_t217
141060,t233_t217
141061,t233_t217
141062,t233_t217
141063,t233_t217
141064,t233_t217
141065,t233_t217
141066,t200_t186
141067,t200_t186
141068,t200_t186
141069,t200_t186
141070,t200_t186
141071,t200_t186
141072,t200_t186
141073,t200_t186
141074,t200_t186
141075,t200_t186
141076,t200_t186
141077,t200_t186
141078,t200_t186
141079,t200_t186
141080,t200_t186
141081,t200_t186
141082,t200_t186
141083,t200_t186
141084,t200_t186
141085,t200_t186
141086,t200_t186
141087,t200_t186
141088,t200_t186
141089,t200_t186
141090,t200_t186
141091,t200_t186
141092,t200_t186
141093,t200_t186
141094,t200_t186
141095,t200_t186
141096,t200_t186
141097,t200_t186
141098,t200_t186
141099,t200_t186
141100,t200_t186
141101,t200_t186
141102,t200_t186
141103,t200_t186
141104,t200_t186
141105,t200_t186
141106,t200_t186
141107,t200_t186
141108,t200_t186
141109,t200_t186
141110,t200_t186
141111,t233_t217
141112,t233_t217
141113,t233_t217
141114,t233_t217
141115,t233_t217
141116,t233_t217
141117,t233_t217
141118,t233_t217
141119,t233_t217
141120,t233_t217
141121,t233_t217
141122,t233_t217
141123,t233_t217
141124,t233_t217
141125,t233_t217
141126,t233_t217
141127,t233_t217
141128,t233_t217
141129,t200_t186
141130,t200_t186
141131,t200_t186
141132,t200_t186
141133,t200_t186
141134,t233_t217
141135,t233_t217
141136,t233_t217
141137,t200_t186
141138,t233_t217
141139,t233_t217
141140,t233_t217
141141,t233_t217
141142,t233_t217
141143,t233_t217
141144,t200_t186
141145,t233_t217
141146,t233_t217
141147,t233_t217
141148,t233_t217
141149,t233_t217
141150,t233_t217
141151,t233_t217
141152,t233_t217
141153,t233_t217
141154,t233_t217
141155,t233_t217
141156,t200_t186
141157,t200_t186
141158,t200_t186
141159,t200_t186
141160,t233_t217
141161,t233_t217
141162,t233_t217
141163,t233_t217
141164,t200_t186
141165,t200_t186
141166,t200_t186
141167,t200_t186
141168,t200_t186
141169,t200_t186
141170,t200_t186
141171,t200_t186
141962,t200_t186
141963,t233_t217
141964,t233_t217
141965,t233_t217
141966,t233_t217
141967,t200_t186
141968,t200_t186
141969,t233_t217
141970,t233_t217
141971,t233_t217
